"theta1","theta2","k","lambda","R12"
0.410910805001696,2.29443867819834,1.50819082748019,9.91886677319638,0.263744771548255
0.410910805001696,2.29443867819834,1.50819082748019,9.91886677319638,0.263744771548255
0.410910805001696,2.29443867819834,1.50819082748019,9.91886677319638,0.263744771548255
0.410910805001696,2.29443867819834,1.50819082748019,9.91886677319638,0.263744771548255
0.410910805001696,2.29443867819834,1.50819082748019,9.91886677319638,0.263744771548255
0.410910805001696,2.29443867819834,1.50819082748019,9.91886677319638,0.263744771548255
0.423682920642329,2.293721196763,1.52757715380244,9.91175272283174,0.262062911329764
0.408897812444054,2.34025941730302,1.50515790421909,10.3839299844679,0.288449546810244
0.408897812444054,2.34025941730302,1.50515790421909,10.3839299844679,0.288449546810244
0.408897812444054,2.34025941730302,1.50515790421909,10.3839299844679,0.288449546810244
0.408897812444054,2.34025941730302,1.50515790421909,10.3839299844679,0.288449546810244
0.408897812444054,2.34025941730302,1.50515790421909,10.3839299844679,0.288449546810244
0.399368212828344,2.29179081603423,1.49088247960692,9.89263772193773,0.263515974189815
0.423973648190585,2.29018343698321,1.52802132712671,9.87674927610252,0.260137775769701
0.424555133268797,2.31424876399326,1.52891010710873,10.1173195683942,0.273043393276846
0.443624256064982,2.31108887717376,1.55834483698068,10.0854004406159,0.269522870128623
0.443624256064982,2.31108887717376,1.55834483698068,10.0854004406159,0.269522870128623
0.443624256064982,2.31108887717376,1.55834483698068,10.0854004406159,0.269522870128623
0.443624256064982,2.31108887717376,1.55834483698068,10.0854004406159,0.269522870128623
0.443624256064982,2.31108887717376,1.55834483698068,10.0854004406159,0.269522870128623
0.443624256064982,2.31108887717376,1.55834483698068,10.0854004406159,0.269522870128623
0.443624256064982,2.31108887717376,1.55834483698068,10.0854004406159,0.269522870128623
0.443624256064982,2.31108887717376,1.55834483698068,10.0854004406159,0.269522870128623
0.443624256064982,2.31108887717376,1.55834483698068,10.0854004406159,0.269522870128623
0.443624256064982,2.31108887717376,1.55834483698068,10.0854004406159,0.269522870128623
0.443624256064982,2.31108887717376,1.55834483698068,10.0854004406159,0.269522870128623
0.443624256064982,2.31108887717376,1.55834483698068,10.0854004406159,0.269522870128623
0.443624256064982,2.31108887717376,1.55834483698068,10.0854004406159,0.269522870128623
0.443624256064982,2.31108887717376,1.55834483698068,10.0854004406159,0.269522870128623
0.443624256064982,2.31108887717376,1.55834483698068,10.0854004406159,0.269522870128623
0.443624256064982,2.31108887717376,1.55834483698068,10.0854004406159,0.269522870128623
0.379009011292403,2.32816202404966,1.46083619970627,10.2590682732985,0.2844167580228
0.379009011292403,2.32816202404966,1.46083619970627,10.2590682732985,0.2844167580228
0.379009011292403,2.32816202404966,1.46083619970627,10.2590682732985,0.2844167580228
0.379009011292403,2.32816202404966,1.46083619970627,10.2590682732985,0.2844167580228
0.379009011292403,2.32816202404966,1.46083619970627,10.2590682732985,0.2844167580228
0.375544461229985,2.29416617156482,1.45578381672996,9.91616418445704,0.267119376134449
0.375544461229985,2.29416617156482,1.45578381672996,9.91616418445704,0.267119376134449
0.375544461229985,2.29416617156482,1.45578381672996,9.91616418445704,0.267119376134449
0.3948581844291,2.33988867406215,1.48417369705545,10.3800809261628,0.289340983957606
0.3948581844291,2.33988867406215,1.48417369705545,10.3800809261628,0.289340983957606
0.3948581844291,2.33988867406215,1.48417369705545,10.3800809261628,0.289340983957606
0.3948581844291,2.33988867406215,1.48417369705545,10.3800809261628,0.289340983957606
0.3948581844291,2.33988867406215,1.48417369705545,10.3800809261628,0.289340983957606
0.3948581844291,2.33988867406215,1.48417369705545,10.3800809261628,0.289340983957606
0.3948581844291,2.33988867406215,1.48417369705545,10.3800809261628,0.289340983957606
0.390325452482885,2.29467293723274,1.47746155917807,9.92119062953058,0.265926042676785
0.390325452482885,2.29467293723274,1.47746155917807,9.92119062953058,0.265926042676785
0.390325452482885,2.29467293723274,1.47746155917807,9.92119062953058,0.265926042676785
0.426793433197167,2.28993219213579,1.53233609926061,9.8742681054413,0.259708703222782
0.426793433197167,2.28993219213579,1.53233609926061,9.8742681054413,0.259708703222782
0.426793433197167,2.28993219213579,1.53233609926061,9.8742681054413,0.259708703222782
0.426793433197167,2.28993219213579,1.53233609926061,9.8742681054413,0.259708703222782
0.426793433197167,2.28993219213579,1.53233609926061,9.8742681054413,0.259708703222782
0.426793433197167,2.28993219213579,1.53233609926061,9.8742681054413,0.259708703222782
0.426793433197167,2.28993219213579,1.53233609926061,9.8742681054413,0.259708703222782
0.426793433197167,2.28993219213579,1.53233609926061,9.8742681054413,0.259708703222782
0.426793433197167,2.28993219213579,1.53233609926061,9.8742681054413,0.259708703222782
0.426793433197167,2.28993219213579,1.53233609926061,9.8742681054413,0.259708703222782
0.445324472483846,2.33649963952989,1.56099661411748,10.3449620166683,0.283457068247893
0.445324472483846,2.33649963952989,1.56099661411748,10.3449620166683,0.283457068247893
0.445324472483846,2.33649963952989,1.56099661411748,10.3449620166683,0.283457068247893
0.453550715327763,2.29142712029644,1.57389071362761,9.8890404659557,0.257697706795043
0.453550715327763,2.29142712029644,1.57389071362761,9.8890404659557,0.257697706795043
0.453550715327763,2.29142712029644,1.57389071362761,9.8890404659557,0.257697706795043
0.422769958982699,2.32176624665505,1.52618317085221,10.1936629382836,0.277282310418168
